Mois,Apple iPhone 5c
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,49
2013-10,99
2013-11,74
2013-12,61
2014-01,82
2014-02,38
2014-03,38
2014-04,65
2014-05,44
2014-06,55
2014-07,100
2014-08,58
2014-09,69
2014-10,46
2014-11,64
2014-12,57
2015-01,72
2015-02,59
2015-03,94
2015-04,78
2015-05,56
2015-06,85
2015-07,50
2015-08,48
2015-09,60
2015-10,65
2015-11,56
2015-12,56
2016-01,51
2016-02,57
2016-03,42
2016-04,44
2016-05,45
2016-06,43
2016-07,30
2016-08,40
2016-09,28
2016-10,30
2016-11,25
2016-12,31
2017-01,27
2017-02,24
2017-03,15
2017-04,22
2017-05,9
2017-06,11
2017-07,32
2017-08,18
2017-09,9
2017-10,16
2017-11,11
2017-12,8
2018-01,13
2018-02,6
2018-03,7
2018-04,8
2018-05,5
2018-06,6
2018-07,10
2018-08,7
2018-09,10
2018-10,5
2018-11,12
2018-12,4
2019-01,4
2019-02,5
2019-03,5
2019-04,15
2019-05,5
2019-06,9
2019-07,9
2019-08,0
2019-09,0
2019-10,4
2019-11,6
2019-12,5
2020-01,4
2020-02,4
2020-03,5
2020-04,4
2020-05,2
2020-06,0
