Mois,Huawei Mate S
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,18
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,15
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,13
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,10
2015-06,0
2015-07,0
2015-08,0
2015-09,65
2015-10,81
2015-11,83
2015-12,100
2016-01,77
2016-02,65
2016-03,88
2016-04,58
2016-05,38
2016-06,27
2016-07,39
2016-08,41
2016-09,56
2016-10,39
2016-11,57
2016-12,42
2017-01,20
2017-02,32
2017-03,15
2017-04,28
2017-05,17
2017-06,24
2017-07,19
2017-08,21
2017-09,10
2017-10,13
2017-11,16
2017-12,16
2018-01,16
2018-02,16
2018-03,14
2018-04,10
2018-05,11
2018-06,8
2018-07,5
2018-08,15
2018-09,13
2018-10,13
2018-11,4
2018-12,9
2019-01,12
2019-02,10
2019-03,14
2019-04,9
2019-05,8
2019-06,8
2019-07,11
2019-08,4
2019-09,11
2019-10,4
2019-11,11
2019-12,11
2020-01,4
2020-02,10
2020-03,6
2020-04,3
2020-05,2
2020-06,4
