Mois,Moto G4 Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,2
2015-07,0
2015-08,0
2015-09,1
2015-10,0
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,10
2016-06,27
2016-07,42
2016-08,62
2016-09,76
2016-10,62
2016-11,100
2016-12,79
2017-01,92
2017-02,85
2017-03,71
2017-04,58
2017-05,57
2017-06,52
2017-07,52
2017-08,49
2017-09,50
2017-10,45
2017-11,37
2017-12,28
2018-01,32
2018-02,30
2018-03,22
2018-04,21
2018-05,23
2018-06,21
2018-07,22
2018-08,14
2018-09,14
2018-10,13
2018-11,13
2018-12,12
2019-01,12
2019-02,10
2019-03,11
2019-04,7
2019-05,9
2019-06,7
2019-07,6
2019-08,8
2019-09,8
2019-10,7
2019-11,6
2019-12,6
2020-01,6
2020-02,7
2020-03,5
2020-04,5
2020-05,5
2020-06,6
