Mois,Motorola Moto E
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,12
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,11
2014-01,12
2014-02,0
2014-03,0
2014-04,0
2014-05,62
2014-06,59
2014-07,66
2014-08,35
2014-09,73
2014-10,35
2014-11,52
2014-12,54
2015-01,49
2015-02,42
2015-03,92
2015-04,100
2015-05,79
2015-06,69
2015-07,61
2015-08,62
2015-09,65
2015-10,46
2015-11,66
2015-12,47
2016-01,40
2016-02,44
2016-03,42
2016-04,25
2016-05,51
2016-06,34
2016-07,39
2016-08,46
2016-09,35
2016-10,16
2016-11,32
2016-12,10
2017-01,13
2017-02,9
2017-03,14
2017-04,11
2017-05,11
2017-06,15
2017-07,11
2017-08,11
2017-09,26
2017-10,10
2017-11,14
2017-12,10
2018-01,8
2018-02,16
2018-03,14
2018-04,11
2018-05,19
2018-06,7
2018-07,20
2018-08,21
2018-09,11
2018-10,13
2018-11,12
2018-12,13
2019-01,17
2019-02,22
2019-03,16
2019-04,12
2019-05,8
2019-06,7
2019-07,9
2019-08,5
2019-09,12
2019-10,4
2019-11,8
2019-12,18
2020-01,14
2020-02,9
2020-03,17
2020-04,15
2020-05,26
2020-06,26
