Mois,Motorola Nexus 6
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,28
2014-09,0
2014-10,24
2014-11,51
2014-12,70
2015-01,66
2015-02,49
2015-03,48
2015-04,58
2015-05,88
2015-06,100
2015-07,84
2015-08,51
2015-09,63
2015-10,40
2015-11,83
2015-12,41
2016-01,61
2016-02,28
2016-03,30
2016-04,22
2016-05,24
2016-06,37
2016-07,50
2016-08,57
2016-09,49
2016-10,13
2016-11,18
2016-12,34
2017-01,31
2017-02,45
2017-03,27
2017-04,11
2017-05,17
2017-06,19
2017-07,13
2017-08,13
2017-09,0
2017-10,14
2017-11,24
2017-12,12
2018-01,13
2018-02,15
2018-03,27
2018-04,14
2018-05,14
2018-06,14
2018-07,13
2018-08,0
2018-09,13
2018-10,0
2018-11,10
2018-12,0
2019-01,17
2019-02,0
2019-03,0
2019-04,13
2019-05,37
2019-06,11
2019-07,11
2019-08,0
2019-09,11
2019-10,10
2019-11,0
2019-12,0
2020-01,0
2020-02,20
2020-03,0
2020-04,0
2020-05,6
2020-06,10
