Mois,Samsung Galaxy E5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,49
2010-10,0
2010-11,0
2010-12,0
2011-01,35
2011-02,40
2011-03,0
2011-04,37
2011-05,34
2011-06,0
2011-07,36
2011-08,0
2011-09,43
2011-10,0
2011-11,32
2011-12,28
2012-01,48
2012-02,33
2012-03,32
2012-04,31
2012-05,31
2012-06,33
2012-07,38
2012-08,0
2012-09,41
2012-10,33
2012-11,0
2012-12,28
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,51
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,26
2014-10,0
2014-11,0
2014-12,19
2015-01,0
2015-02,24
2015-03,35
2015-04,48
2015-05,46
2015-06,61
2015-07,100
2015-08,56
2015-09,55
2015-10,67
2015-11,36
2015-12,31
2016-01,29
2016-02,31
2016-03,25
2016-04,25
2016-05,18
2016-06,24
2016-07,19
2016-08,29
2016-09,33
2016-10,20
2016-11,29
2016-12,22
2017-01,27
2017-02,14
2017-03,11
2017-04,27
2017-05,19
2017-06,24
2017-07,25
2017-08,12
2017-09,14
2017-10,13
2017-11,12
2017-12,23
2018-01,12
2018-02,22
2018-03,19
2018-04,14
2018-05,13
2018-06,0
2018-07,16
2018-08,24
2018-09,12
2018-10,12
2018-11,20
2018-12,0
2019-01,11
2019-02,24
2019-03,12
2019-04,12
2019-05,0
2019-06,34
2019-07,0
2019-08,21
2019-09,11
2019-10,10
2019-11,12
2019-12,9
2020-01,12
2020-02,9
2020-03,17
2020-04,11
2020-05,6
2020-06,9
