Mois,Samsung Galaxy S4 zoom
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,43
2013-07,56
2013-08,100
2013-09,89
2013-10,61
2013-11,61
2013-12,97
2014-01,50
2014-02,49
2014-03,69
2014-04,94
2014-05,82
2014-06,44
2014-07,31
2014-08,82
2014-09,32
2014-10,38
2014-11,49
2014-12,46
2015-01,53
2015-02,61
2015-03,39
2015-04,27
2015-05,39
2015-06,30
2015-07,19
2015-08,41
2015-09,15
2015-10,26
2015-11,0
2015-12,10
2016-01,11
2016-02,11
2016-03,16
2016-04,10
2016-05,10
2016-06,0
2016-07,0
2016-08,18
2016-09,14
2016-10,8
2016-11,7
2016-12,7
2017-01,0
2017-02,9
2017-03,0
2017-04,19
2017-05,0
2017-06,10
2017-07,10
2017-08,10
2017-09,11
2017-10,0
2017-11,10
2017-12,0
2018-01,16
2018-02,24
2018-03,21
2018-04,0
2018-05,0
2018-06,0
2018-07,21
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,8
2019-01,0
2019-02,0
2019-03,10
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,9
2019-09,9
2019-10,0
2019-11,7
2019-12,0
2020-01,0
2020-02,8
2020-03,7
2020-04,6
2020-05,5
2020-06,8
