Mois,Samsung Galaxy S7 Edge
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,1
2015-08,1
2015-09,2
2015-10,2
2015-11,2
2015-12,1
2016-01,3
2016-02,22
2016-03,83
2016-04,74
2016-05,76
2016-06,83
2016-07,89
2016-08,95
2016-09,100
2016-10,89
2016-11,78
2016-12,82
2017-01,70
2017-02,73
2017-03,70
2017-04,66
2017-05,52
2017-06,52
2017-07,43
2017-08,50
2017-09,50
2017-10,41
2017-11,49
2017-12,42
2018-01,44
2018-02,39
2018-03,38
2018-04,33
2018-05,33
2018-06,34
2018-07,31
2018-08,29
2018-09,26
2018-10,19
2018-11,22
2018-12,21
2019-01,18
2019-02,13
2019-03,15
2019-04,14
2019-05,14
2019-06,13
2019-07,11
2019-08,12
2019-09,8
2019-10,9
2019-11,7
2019-12,8
2020-01,6
2020-02,6
2020-03,7
2020-04,5
2020-05,5
2020-06,5
